,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPrev_disparity,FDR_disparity,FOmR_disparity,FPR_disparity,FNR_disparity,PPR_ref_group_value,PPrev_ref_group_value,FDR_ref_group_value,FOmR_ref_group_value,FPR_ref_group_value,FNR_ref_group_value
25,0.004511278195488722,Bachelors,education,50,1,50_abs,0.9948293691830403,0.40763546798029554,0.625,0.005170630816959669,0.9954887218045113,0.5923645320197044,0.375,8,1624,0.16,0.004901960784313725,5,662,962,3,967,665,1632,9769,0.4074754901960784,0.5333333333333333,1.050326797385621,0.78125,2.6290843993325916,1.169855222337125,1.001509822944458,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
26,0.01098901098901099,Doctorate,education,50,1,50_abs,1.0,0.7258064516129032,0.0,0.0,0.989010989010989,0.27419354838709675,1.0,1,124,0.02,0.008,0,90,34,1,34,91,125,9769,0.728,0.06666666666666667,1.7141333333333335,0.0,4.681158949011446,0.0,0.994992910315491,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
27,0.006012024048096192,HS-grad,education,50,1,50_abs,0.9955801104972376,0.15504845264145045,0.8,0.004419889502762431,0.9939879759519038,0.8449515473585495,0.2,15,3199,0.3,0.004667081518357187,12,496,2703,3,2715,499,3214,9769,0.1552582451773491,1.0,1.0,1.0,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
28,0.0036101083032490976,Masters,education,50,1,50_abs,0.9852941176470589,0.5786163522012578,0.75,0.014705882352941176,0.9963898916967509,0.42138364779874216,0.25,4,477,0.08,0.008316008316008316,3,276,201,1,204,277,481,9769,0.5758835758835759,0.26666666666666666,1.781843381843382,0.9375,3.7318421586528707,3.3272058823529407,1.0024164434610456,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
29,0.0,Preschool,education,50,1,50_abs,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,16,0.0,0.0,0,0,16,0,16,0,16,9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
30,0.0,Prof-school,education,50,1,50_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461,0.0,0.0,0.0,4.492977528089888,0.0,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
31,0.0,Some-college,education,50,1,50_abs,0.9955056179775281,0.19417917235106866,1.0,0.0044943820224719105,1.0,0.8058208276489314,0.0,8,2199,0.16,0.0036248300860897147,8,427,1772,0,1780,427,2207,9769,0.19347530584503853,0.5333333333333333,0.7766802597794896,1.25,1.2523773636110256,1.0168539325842696,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
32,0.05555555555555555,10th,education,100,1,100_abs,0.9781021897810219,0.05964912280701754,0.8571428571428571,0.021897810218978103,0.9444444444444444,0.9403508771929825,0.14285714285714285,7,285,0.07,0.023972602739726026,6,17,268,1,274,18,292,9769,0.06164383561643835,0.2692307692307693,2.9633825079030554,1.0129870129870129,0.3841644515328726,2.7023888520238883,0.9520763187429854,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
33,0.0,11th,education,100,1,100_abs,0.9938650306748467,0.04424778761061947,1.0,0.006134969325153374,1.0,0.9557522123893806,0.0,2,339,0.02,0.005865102639296188,2,15,324,0,326,15,341,9769,0.04398826979472141,0.07692307692307693,0.7250169185653056,1.1818181818181819,0.2849736301063735,0.7571109871723368,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
34,0.0,12th,education,100,1,100_abs,0.9814814814814815,0.07017543859649122,1.0,0.018518518518518517,1.0,0.9298245614035088,0.0,2,114,0.02,0.017241379310344827,2,8,106,0,108,8,116,9769,0.06896551724137931,0.07692307692307693,2.1312997347480103,1.1818181818181819,0.4519581782739678,2.285353535353535,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
35,0.5,1st-4th,education,100,1,100_abs,1.0,0.022727272727272728,0.0,0.0,0.5,0.9772727272727273,1.0,1,44,0.01,0.022222222222222223,0,1,43,1,43,2,45,9769,0.044444444444444446,0.038461538461538464,2.747008547008547,0.0,0.14637281910009184,0.0,0.5040404040404041,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
36,0.0,5th-6th,education,100,1,100_abs,0.9733333333333334,0.05194805194805195,1.0,0.02666666666666667,1.0,0.948051948051948,0.0,2,77,0.02,0.02531645569620253,2,4,73,0,75,4,79,9769,0.05063291139240506,0.07692307692307693,3.1295034079844206,1.1818181818181819,0.3345664436573528,3.290909090909091,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
37,0.0,7th-8th,education,100,1,100_abs,0.9886363636363636,0.03867403314917127,1.0,0.011363636363636364,1.0,0.9613259668508287,0.0,2,181,0.02,0.01092896174863388,2,7,174,0,176,7,183,9769,0.03825136612021858,0.07692307692307693,1.3509878100042034,1.1818181818181819,0.24907639935264245,1.4023760330578512,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
38,0.0,9th,education,100,1,100_abs,0.972027972027972,0.05442176870748299,1.0,0.027972027972027972,1.0,0.9455782312925171,0.0,4,147,0.04,0.026490066225165563,4,8,139,0,143,8,151,9769,0.052980132450331126,0.15384615384615385,3.2745797249108506,1.1818181818181819,0.3504981790696077,3.4520025429116337,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
39,0.0,Assoc-acdm,education,100,1,100_abs,0.9814814814814815,0.2909698996655518,1.0,0.018518518518518517,1.0,0.7090301003344481,0.0,4,299,0.04,0.013201320132013201,4,87,212,0,216,87,303,9769,0.2871287128712871,0.15384615384615385,1.6318862655496318,1.1818181818181819,1.8739637174419783,2.285353535353535,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
40,0.008333333333333333,Assoc-voc,education,100,1,100_abs,0.986013986013986,0.2967581047381546,0.8,0.013986013986013986,0.9916666666666667,0.7032418952618454,0.2,5,401,0.05,0.012315270935960592,4,119,282,1,286,120,406,9769,0.2955665024630542,0.19230769230769232,1.522356953391436,0.9454545454545455,1.9112420967782566,1.7260012714558168,0.9996801346801347,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
