,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPR_ref_group_value,PPrev_disparity,PPrev_ref_group_value,FDR_disparity,FDR_ref_group_value,FOmR_disparity,FOmR_ref_group_value,FPR_disparity,FPR_ref_group_value,FNR_disparity,FNR_ref_group_value
39,0.0,Assoc-acdm,education,100,1,100_abs,0.9907407407407407,0.28903654485049834,1.0,0.009259259259259259,1.0,0.7109634551495017,0.0,2,301,0.02,0.006600660066006601,2,87,214,0,216,87,303,9769,0.2871287128712871,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
40,0.0,Assoc-voc,education,100,1,100_abs,0.993006993006993,0.297029702970297,1.0,0.006993006993006993,1.0,0.7029702970297029,0.0,2,404,0.02,0.0049261083743842365,2,120,284,0,286,120,406,9769,0.2955665024630542,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
41,0.0015037593984962407,Bachelors,education,100,1,100_abs,0.9958634953464323,0.40811309157959436,0.8,0.004136504653567736,0.9984962406015038,0.5918869084204057,0.2,5,1627,0.05,0.0030637254901960784,4,664,963,1,967,665,1632,9769,0.4074754901960784,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
42,0.0,Doctorate,education,100,1,100_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
43,0.002004008016032064,HS-grad,education,100,1,100_abs,0.9830570902394107,0.157246605620461,0.9787234042553191,0.01694290976058932,0.9979959919839679,0.842753394379539,0.02127659574468085,47,3167,0.47,0.01462352209085252,46,498,2669,1,2715,499,3214,9769,0.1552582451773491,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
44,0.0,Masters,education,100,1,100_abs,1.0,0.5758835758835759,0.0,0.0,1.0,0.42411642411642414,0.0,0,481,0.0,0.0,0,277,204,0,204,277,481,9769,0.5758835758835759,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
45,0.0,Preschool,education,100,1,100_abs,0.9375,0.0,1.0,0.0625,0.0,1.0,0.0,1,15,0.01,0.0625,1,0,15,0,16,0,16,9769,0.0,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,1.0,Preschool,10.0,1st-4th,1.0,Preschool
46,0.0,Prof-school,education,100,1,100_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
47,0.00234192037470726,Some-college,education,100,1,100_abs,0.9893258426966293,0.19478737997256515,0.95,0.010674157303370787,0.9976580796252927,0.8052126200274349,0.05,20,2187,0.2,0.009062075215224286,19,426,1761,1,1780,427,2207,9769,0.19347530584503853,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
48,1.0,10th,education,9769,1,1.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835,18.25,Preschool,1.0,10th,3.4498388396454467,Doctorate,1.0,10th,1.0,10th,1.0,10th
